epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.63,0.74993,2.11271,0.00423,0.91922,0.77372,0.92685,0.78599,0.66188,0.55717,0.00408,0.000661111,0.000661111,0.000661111
2,79.3317,0.81,0.67449,0.00466,0.91083,0.89471,0.9741,0.7452,0.93033,0.58477,0.0066,0.00131463,0.00131463,0.00131463
3,128.088,0.84912,0.54078,0.00504,0.91306,0.94891,0.98095,0.82978,0.67315,0.32164,0.0043,0.00195495,0.00195495,0.00195495
4,178.975,0.78092,0.44999,0.00432,0.94494,0.9635,0.99011,0.86362,0.62906,0.27816,0.00418,0.0019406,0.0019406,0.0019406
5,245.141,0.79184,0.42767,0.00461,0.94443,0.99237,0.99239,0.8984,0.49993,0.2261,0.00326,0.0019208,0.0019208,0.0019208
6,299.333,0.76034,0.37289,0.00436,0.97159,0.9708,0.99312,0.90505,0.46796,0.22586,0.00279,0.001901,0.001901,0.001901
7,349.753,0.75134,0.34693,0.00426,0.94192,0.94699,0.98347,0.88859,0.50763,0.28986,0.00309,0.0018812,0.0018812,0.0018812
8,405.384,0.71953,0.33055,0.00391,0.99242,0.95575,0.99347,0.8763,0.59978,0.21999,0.00375,0.0018614,0.0018614,0.0018614
9,446.749,0.69676,0.3003,0.00384,0.93165,0.99501,0.98979,0.89505,0.48435,0.2483,0.00305,0.0018416,0.0018416,0.0018416
10,482.269,0.67225,0.31081,0.00382,0.93696,0.97639,0.98928,0.91332,0.40071,0.22716,0.00246,0.0018218,0.0018218,0.0018218
11,518.224,0.64908,0.30085,0.00341,0.99247,0.96259,0.99345,0.93853,0.36811,0.1646,0.00229,0.001802,0.001802,0.001802
12,562.635,0.64201,0.30005,0.00336,0.97886,0.9635,0.99341,0.89783,0.49854,0.20184,0.00321,0.0017822,0.0017822,0.0017822
13,614.19,0.63117,0.29726,0.00333,0.97763,0.95679,0.99223,0.88008,0.55776,0.22786,0.00329,0.0017624,0.0017624,0.0017624
14,666.26,0.60929,0.25086,0.00346,0.99255,0.97182,0.99387,0.88883,0.53821,0.1991,0.00335,0.0017426,0.0017426,0.0017426
15,721.968,0.60281,0.25883,0.00324,0.97872,0.9708,0.99407,0.9297,0.3804,0.18199,0.00248,0.0017228,0.0017228,0.0017228
16,770.16,0.58032,0.28018,0.0031,0.98344,0.9854,0.9937,0.90607,0.48005,0.19778,0.00286,0.001703,0.001703,0.001703
17,836.746,0.56594,0.24911,0.00309,0.96861,1,0.98321,0.94777,0.3308,0.15198,0.00197,0.0016832,0.0016832,0.0016832
18,903.98,0.52443,0.25612,0.00286,0.98447,0.9927,0.99485,0.93899,0.38359,0.1859,0.00229,0.0016634,0.0016634,0.0016634
19,948.338,0.51457,0.23762,0.0027,0.97839,0.9914,0.99427,0.91161,0.45572,0.15964,0.00278,0.0016436,0.0016436,0.0016436
